City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
152,tambun,-6.2641,107.0712,298.98,79,100,1.26,ID,1670015482
153,naze,28.3667,129.4833,290.65,89,100,7.92,JP,1670015483
154,sulangan,11.1373,123.7228,300.92,79,100,6.1,PH,1670015483
155,nevel,56.0209,29.9284,267.75,94,100,2.62,RU,1670015483
156,bonoua,5.2741,-3.595,299.94,84,65,3.07,CI,1670015433
157,yerbogachen,61.2767,108.0108,257.02,96,100,3.7,RU,1670015483
158,palmer,42.1584,-72.3287,279.22,52,75,3.6,US,1670015406
159,steinen,47.6445,7.7391,276.69,88,100,4.12,DE,1670015448
160,chernogorsk,53.8236,91.2842,249.91,84,40,1.0,RU,1670015484
161,mar del plata,-38.0023,-57.5575,295.28,68,0,3.13,AR,1670015288
162,buchanan,5.8808,-10.0467,298.71,84,100,3.19,LR,1670015484
163,hay river,60.8156,-115.7999,257.03,93,100,2.05,CA,1670015484
164,bambous virieux,-20.3428,57.7575,294.38,88,20,1.54,MU,1670015484
165,college,64.8569,-147.8028,262.15,81,100,0.0,US,1670015485
166,karratha,-20.7377,116.8463,299.77,53,4,4.19,AU,1670015485
167,dhidhdhoo,6.8833,73.1,300.23,75,94,1.97,MV,1670015485
168,odweyne,9.4092,45.064,293.92,30,87,4.0,SO,1670015486
169,shadegan,30.6497,48.6647,292.84,48,0,4.38,IR,1670015486
170,provideniya,64.3833,-173.3,272.59,91,100,5.84,RU,1670015486
171,ostrovnoy,68.0531,39.5131,267.45,96,94,2.12,RU,1670015486
172,ugra,54.7777,34.3267,268.34,85,100,3.3,RU,1670015486
173,furukawa,38.5717,140.9556,270.01,83,10,0.76,JP,1670015486
174,tororo,0.693,34.1809,291.54,78,31,2.12,UG,1670015487
175,atuona,-9.8,-139.0333,298.71,70,21,9.23,PF,1670015487
176,zalantun,48.0,122.7167,254.25,63,1,6.96,CN,1670015487
177,san cristobal,7.7669,-72.225,297.25,77,93,1.53,VE,1670015488
178,mazatlan,23.2167,-106.4167,304.13,74,0,2.06,MX,1670015488
179,aasiaat,68.7098,-52.8699,276.91,59,100,12.44,GL,1670015334
180,nemuro,43.3236,145.575,272.82,46,17,4.61,JP,1670015488
181,shitanjing,39.2342,106.3439,265.02,34,100,2.37,CN,1670015489
182,konstantinovka,49.6167,127.9833,250.94,98,100,3.96,RU,1670015489
183,agadez,19.75,10.25,294.15,22,100,2.99,NE,1670015204
184,san patricio,28.017,-97.5169,293.64,75,99,3.57,US,1670015489
185,barrow,71.2906,-156.7887,273.16,93,100,12.86,US,1670015490
186,zambezi,-13.5432,23.1047,294.75,57,84,2.28,ZM,1670015490
187,kudahuvadhoo,2.6708,72.8944,299.64,78,70,3.33,MV,1670015490
188,belyy yar,53.6039,91.3903,250.09,85,40,1.0,RU,1670015491
189,suntar,62.1444,117.6319,252.12,95,100,3.34,RU,1670015491
190,vanimo,-2.6741,141.3028,298.03,90,100,3.03,PG,1670015491
191,parrita,9.5201,-84.3225,303.85,76,17,2.27,CR,1670015491
192,bengkulu,-3.8004,102.2655,296.29,93,100,3.26,ID,1670015492
193,acapulco,16.8634,-99.8901,303.05,70,0,3.6,MX,1670015492
194,lavumisa,-27.31,31.892,296.22,67,88,1.95,SZ,1670015492
195,aberdeen,57.1437,-2.0981,280.65,84,75,2.57,GB,1670015477
196,san policarpo,12.1791,125.5072,300.3,85,100,6.79,PH,1670015493
197,souillac,-20.5167,57.5167,294.36,88,20,1.54,MU,1670015334
198,aligudarz,33.4006,49.6949,278.14,67,0,0.68,IR,1670015407
199,faanui,-16.4833,-151.75,300.0,77,44,8.02,PF,1670015493
200,upernavik,72.7868,-56.1549,268.39,55,100,5.4,GL,1670015494
201,lakatoro,-16.0999,167.4164,301.59,78,100,5.64,VU,1670015494
202,kodiak,57.79,-152.4072,269.88,63,0,2.06,US,1670015494
203,kavaratti,10.5669,72.642,300.83,74,41,2.93,IN,1670015494
204,raha,26.2333,92.5167,289.96,86,0,1.56,IN,1670015495
205,saint-pierre,-21.3393,55.4781,295.97,73,0,2.57,RE,1670015495
206,helena,46.5927,-112.0361,271.71,48,75,8.23,US,1670015495
207,hambantota,6.1241,81.1185,297.79,86,78,2.82,LK,1670015210
208,chernenko,44.365,39.3103,278.32,92,100,1.4,RU,1670015495
209,quballat,36.5418,9.6633,286.53,44,100,4.48,TN,1670015495
210,conde,-7.2597,-34.9075,299.85,69,20,3.6,BR,1670015496
211,macamic,48.7502,-78.9996,273.0,80,100,6.45,CA,1670015496
212,tuatapere,-46.1333,167.6833,284.91,55,100,1.52,NZ,1670015497
213,longyearbyen,78.2186,15.6401,277.06,75,75,6.17,SJ,1670015490
214,bilma,18.6853,12.9164,295.47,19,98,2.63,NE,1670015497
215,aykhal,66.0,111.5,255.02,99,100,3.58,RU,1670015497
216,katangli,51.7102,143.2326,252.61,99,99,1.85,RU,1670015498
217,kadoma,34.7333,135.5833,278.14,73,3,1.31,JP,1670015498
218,castro,-24.7911,-50.0119,295.4,76,57,0.94,BR,1670015210
219,korla,41.7597,86.1469,266.87,33,81,1.03,CN,1670015498
220,kapoeta,4.7717,33.5903,301.26,32,67,3.54,SS,1670015499
221,fomboni,-12.28,43.7425,300.01,71,7,3.52,KM,1670015499
222,cabo san lucas,22.8909,-109.9124,302.93,71,0,2.06,MX,1670015238
223,cukai,4.25,103.4167,298.71,93,100,2.04,MY,1670015499
224,fort payne,34.4442,-85.7197,290.61,65,40,3.6,US,1670015268
225,marshalltown,42.0494,-92.908,285.08,62,100,3.6,US,1670015500
226,dakar,14.6937,-17.4441,295.64,59,52,6.27,SN,1670015491
227,daraitan,14.6028,121.4319,298.81,92,97,3.43,PH,1670015500
228,touros,-5.1989,-35.4608,299.32,71,99,5.6,BR,1670015500
229,inhambane,-23.865,35.3833,296.93,83,0,3.71,MZ,1670015242
230,coquimbo,-29.9533,-71.3436,290.0,82,75,5.14,CL,1670015501
231,buraydah,26.326,43.975,291.45,46,8,3.69,SA,1670015474
232,khash,28.2211,61.2158,281.04,54,0,1.78,IR,1670015501
233,cockburn town,21.4612,-71.1419,299.81,66,13,10.73,TC,1670015396
234,senneterre,48.3835,-77.2328,272.63,79,99,6.13,CA,1670015502
235,svetlogorsk,52.6333,29.7333,268.56,91,97,3.12,BY,1670015327
236,beringovskiy,63.05,179.3167,269.81,69,100,5.87,RU,1670015502
237,milkovo,54.7167,158.6167,254.15,97,82,1.52,RU,1670015502
238,jian,27.1172,114.9793,278.35,88,98,1.2,CN,1670015268
239,aklavik,68.2191,-135.0107,260.66,89,100,1.6,CA,1670015503
240,lompoc,34.6391,-120.4579,290.38,89,99,1.79,US,1670015503
241,phek,25.6667,94.5,278.65,97,12,0.8,IN,1670015503
242,bitung,1.4451,125.1824,296.62,83,99,2.4,ID,1670015503
243,pisco,-13.7,-76.2167,293.18,83,0,3.09,PE,1670015503
244,vredendal,-31.6683,18.5012,287.88,65,52,7.29,ZA,1670015504
245,cayenne,4.9333,-52.3333,299.17,89,75,0.51,GF,1670015504
246,fukue,32.6881,128.8419,283.62,55,5,1.45,JP,1670015504
247,khasan,42.4308,130.6434,269.9,59,100,2.4,RU,1670015504
248,cienfuegos,22.1461,-80.4356,301.57,56,26,7.51,CU,1670015505
249,esperance,-33.8667,121.9,288.69,86,4,3.46,AU,1670015505
250,camacha,33.0833,-16.3333,287.83,67,40,11.32,PT,1670015505
251,pevek,69.7008,170.3133,253.96,94,100,3.86,RU,1670015505
252,atikokan,48.7555,-91.6216,271.66,91,100,1.95,CA,1670015506
253,ternate,0.8,127.4,299.66,81,64,1.94,ID,1670015506
254,tazovskiy,67.4667,78.7,263.97,94,100,7.37,RU,1670015506
255,bocanegra,19.85,-99.1,296.86,33,2,2.32,MX,1670015506
256,taoudenni,22.6783,-3.9836,295.97,16,0,2.04,ML,1670015507
257,kruisfontein,-34.0033,24.7314,290.31,74,1,10.43,ZA,1670015507
258,sivagiri,9.3333,77.4333,297.0,88,100,0.93,IN,1670015507
259,dalvik,65.9702,-18.5286,276.38,82,97,1.73,IS,1670015507
260,tiarei,-17.5333,-149.3333,302.16,82,20,7.76,PF,1670015507
261,ancud,-41.8697,-73.8203,287.45,92,87,3.92,CL,1670015507
262,dingle,10.9995,122.6711,297.07,93,95,3.32,PH,1670015508
263,dapaong,10.8639,0.205,300.2,23,13,2.02,TG,1670015252
264,beloha,-25.1667,45.05,296.8,85,100,1.44,MG,1670015508
265,lubao,14.9167,120.55,299.19,88,100,3.55,PH,1670015508
266,ban nahin,18.2418,104.2122,290.43,88,11,1.63,LA,1670015509
267,richards bay,-28.783,32.0377,295.78,73,92,1.9,ZA,1670015509
268,san carlos de bariloche,-41.1456,-71.3082,290.01,45,75,11.32,AR,1670015302
269,ogulin,45.2661,15.2286,275.15,100,100,0.71,HR,1670015509
270,poso,-1.3959,120.7524,297.59,90,100,1.5,ID,1670015509
271,puerto baquerizo moreno,-0.9,-89.6,295.7,88,75,5.14,EC,1670015509
272,bairiki,1.3292,172.9752,302.15,70,40,4.63,KI,1670015510
273,isla mujeres,21.2311,-86.731,302.18,68,4,7.38,MX,1670015510
274,lavrentiya,65.5833,-171.0,273.43,99,100,5.21,RU,1670015510
275,raudeberg,61.9875,5.1352,275.52,59,21,3.94,NO,1670015510
276,quatre cocos,-20.2078,57.7625,294.31,73,4,1.97,MU,1670015510
277,la romana,18.4273,-68.9728,301.35,65,40,5.14,DO,1670015511
278,kostomuksha,64.571,30.5767,267.32,98,100,0.43,RU,1670015511
279,jibuti,11.5,42.5,294.5,75,0,4.8,DJ,1670015512
280,juneau,58.3019,-134.4197,271.6,86,40,0.0,US,1670015512
281,saint george,37.1041,-113.5841,288.48,35,0,3.6,US,1670015512
282,lasa,46.6166,10.7002,275.02,97,93,1.29,IT,1670015512
283,scottsbluff,41.8666,-103.6672,271.28,66,100,12.86,US,1670015232
284,karonga,-9.9333,33.9333,297.43,71,100,1.37,MW,1670015513
285,kitimat,54.0524,-128.6534,267.54,54,100,2.65,CA,1670015513
286,gravdal,68.1214,13.5031,276.09,70,20,2.57,NO,1670015513
287,riyadh,24.6877,46.7219,292.25,45,4,2.45,SA,1670014914
288,dzhebariki-khaya,62.2167,135.8,235.17,99,100,0.6,RU,1670015513
289,noumea,-22.2763,166.4572,304.14,99,100,2.72,NC,1670015514
290,puro,12.4841,123.3827,299.08,87,99,6.32,PH,1670015514
291,jega,12.2175,4.3792,299.0,26,27,3.61,NG,1670015514
292,tilichiki,60.4667,166.1,261.75,87,100,2.72,RU,1670015514
293,huarmey,-10.0681,-78.1522,295.75,73,94,5.5,PE,1670015515
294,kavieng,-2.5744,150.7967,300.05,79,100,1.56,PG,1670015515
295,kirovskiy,45.0917,133.5136,260.08,87,74,2.66,RU,1670015515
296,maragogi,-9.0122,-35.2225,298.7,76,15,3.12,BR,1670015515
297,manta,-0.95,-80.7333,301.03,65,20,6.69,EC,1670015515
298,hami,42.8,93.45,264.7,28,99,1.07,CN,1670015516
299,malinovoye ozero,51.6753,79.7825,252.09,100,85,1.43,RU,1670015516
300,williston,48.147,-103.618,256.66,66,97,4.02,US,1670015516
301,matara,5.9485,80.5353,297.14,90,66,1.71,LK,1670015516
302,san quintin,30.4833,-115.95,290.42,55,99,4.76,MX,1670015516
303,marystown,47.1666,-55.1483,274.49,64,68,8.94,CA,1670015517
304,vostok,46.4856,135.8833,251.69,93,39,2.44,RU,1670015517
305,jardim,-21.4803,-56.1381,298.44,79,82,3.25,BR,1670015517
306,hithadhoo,-0.6,73.0833,300.78,74,99,4.73,MV,1670015517
307,kaduy,59.2,37.15,261.89,95,100,2.4,RU,1670015518
308,coari,-4.085,-63.1414,296.53,98,100,1.38,BR,1670015518
309,turukhansk,65.8167,87.9833,256.14,97,100,3.56,RU,1670015485
310,lodwar,3.1191,35.5973,301.47,44,78,8.47,KE,1670015518
311,thompson,55.7435,-97.8558,250.19,88,6,1.87,CA,1670015519
312,teya,60.3778,92.6267,249.26,99,100,1.61,RU,1670015519
313,hualmay,-11.0964,-77.6139,295.48,71,57,5.39,PE,1670015519
314,coihaique,-45.5752,-72.0662,288.49,55,75,5.66,CL,1670015520
315,khandyga,62.6667,135.6,232.21,100,99,0.95,RU,1670015520
316,hirara,24.8,125.2833,297.85,83,100,8.2,JP,1670015520
317,obeliai,55.9667,25.15,261.64,96,58,2.19,LT,1670015520
318,oksfjord,70.2396,22.3479,275.25,91,29,4.85,NO,1670015521
319,laguna,38.421,-121.4238,285.35,72,0,5.14,US,1670015521
320,baghdad,33.3406,44.4009,287.1,94,37,1.54,IQ,1670015522
321,rzhev,56.2624,34.3282,265.91,90,100,3.08,RU,1670015500
322,hofn,64.2539,-15.2082,278.07,71,10,3.33,IS,1670015522
323,geraldton,-28.7667,114.6,289.38,77,75,3.6,AU,1670015522
324,kulhudhuffushi,6.6221,73.07,299.97,76,88,1.87,MV,1670015522
325,puerto madryn,-42.7692,-65.0385,301.9,27,92,9.63,AR,1670015523
326,kununurra,-15.7667,128.7333,292.14,88,83,0.51,AU,1670015523
327,korsakov,46.6328,142.7813,263.06,81,83,5.34,RU,1670015523
328,starokamyshinsk,55.0554,61.6031,250.47,98,13,2.03,RU,1670015523
329,grand gaube,-20.0064,57.6608,294.47,78,6,3.04,MU,1670015524
330,vila velha,-20.3297,-40.2925,296.12,98,100,4.12,BR,1670015524
331,statesville,35.7826,-80.8873,286.98,44,100,1.54,US,1670015524
332,tiznit,29.5833,-9.5,286.28,86,60,2.53,MA,1670015524
333,constitucion,-35.3333,-72.4167,291.62,55,7,5.85,CL,1670015525
334,norman wells,65.282,-126.8329,262.17,85,100,2.57,CA,1670015525
335,marawi,7.9986,124.2928,292.61,91,100,0.76,PH,1670015525
336,rudnogorsk,57.2639,103.7519,253.81,94,100,3.87,RU,1670015525
337,valer,60.6785,11.8331,267.69,97,98,1.24,NO,1670015525
338,petropavlovsk-kamchatskiy,53.0452,158.6483,257.48,85,20,3.0,RU,1670015481
339,abu dhabi,24.4667,54.3667,299.16,72,0,1.03,AE,1670015241
340,antioch,36.2066,36.1572,284.05,79,7,1.05,TR,1670015526
341,clyde river,70.4692,-68.5914,251.28,77,100,19.55,CA,1670015526
342,ranau,5.9538,116.6641,293.4,96,98,0.22,MY,1670015526
343,broome,42.2506,-75.833,277.85,57,100,3.09,US,1670015527
344,biak,-0.9131,122.8766,297.57,83,100,0.77,ID,1670015527
